plaSecuencia;plaDescripcion;plaEstado;plaUsuario;plaFecha
1;VISUAL BASIC;1;1;2024-04-05 12:23:00
2;JAVA SCRIPT;0;1;2023-12-23 12:22:00
3;E. O.;0;1;2023-12-23 15:57:00
4;SCRIPT / SQL;0;1;2023-12-23 15:57:00
5;COOL PLEX;1;2;2008-06-04 14:23:00
6;CRYSTAL REPORT;1;7;2008-08-18 15:56:00
7;LOTUS;1;23;2008-10-17 16:05:00
8;JAVA;1;27;2009-03-12 21:47:00
9;COGNOS;1;15;2009-05-07 10:24:00
10;OLAP SQL;1;15;2009-05-07 10:24:00
11;SQL REPORTING SERVICES;1;12;2009-05-19 12:58:00
12;MICROSOFT .NET;1;23;2009-05-25 14:42:00
13;VISUAL FOX PRO;1;1;2009-07-16 10:28:00
14;SQL Server Integration Services;1;1;2010-05-21 15:40:00
15;SQL VISUAL STUDIO;1;1;2010-05-21 16:14:00
16;JAVA;1;27;2010-11-24 12:08:00
17;JSP - WEB;1;42;2011-06-30 15:38:00
18;FOXPRO;1;30;2011-08-17 15:05:00
19;ASPNET - VISUAL STUDIO;0;44;2011-12-02 09:19:00
20;ASPNET - VISUAL STUDIO;0;44;2011-12-02 09:20:00
21;POWER BUILDER;1;25;2011-12-28 11:19:00
22;WORKFLOW;1;15;2012-01-05 18:04:00
23;ARCGIS;0;44;2012-07-06 11:45:00
24;ARCGIS;1;44;2012-07-06 11:45:00
25;WEB PHP;1;47;2012-09-21 15:33:00
26;BI SQLSERVER 2008 R2;1;47;2012-10-19 14:50:00
27;SKAN;1;15;2013-06-19 15:47:00
28;QLIKVIEW;1;47;2014-02-27 15:45:00
29;SERVIDOR FTPS;1;61;2015-08-31 08:53:00
30;MICROSOFT .NET C#;1;69;2016-04-21 16:48:00
31;GROOVY;1;69;2016-04-21 16:49:00
32;REPORTING SERVICES;0;59;2016-09-06 17:14:00
33;REPORTING SERVICES;1;59;2016-09-06 17:14:00
34;MS SHAREPOINT;1;64;2017-03-01 15:08:00
35;DESKTOP;1;64;2017-08-02 11:46:00
36;QLIKSENSE;0;25;2018-03-23 15:11:00
37;QLIKSENSE;1;25;2018-03-23 15:14:00
38;GENEXUS;1;64;2018-06-28 10:18:00
39;JASPER REPORTS;1;64;2018-10-30 08:58:00
40;RFgen;1;64;2019-02-15 12:10:00
41;N4;1;64;2019-03-13 15:50:00
42;MAGIC;1;15;2019-09-20 14:16:00
43;FILENET;1;15;2019-09-30 20:45:00
44;AAE AUTOMATION ANYWHERE ENTERPRISE;1;49;2019-12-05 10:44:00
45;MAGIC XPI;1;49;2021-03-04 07:57:00
46;POWER BI;1;79;2021-10-01 18:20:00
47;ROADSHOW ENTERPRISE;1;78;2021-12-28 08:41:00
48;SQL SERVER Y APLICACIONES ONLY CONTROL;1;86;2022-09-06 08:56:00
49;CLOUD AUTOMATION ANYWHERE 360;1;78;2023-05-30 14:57:00
50;SIEMENS Totally Integrated Automation;0;49;2023-12-23 15:41:00
51;prueba;0;0;2023-12-23 15:13:00
52;test 2;0;0;2023-12-23 15:19:00
53;Punto Net Core;1;1;2023-12-26 15:15:00
54;Prueba de usuario;0;2;2024-01-02 14:24:00
55;SO99+1;1;77;2024-02-06 12:31:00
1055;MongoDB;0;77;2024-04-05 12:25:00
