NIVEL1;NIVEL2;NIVEL3;NIVEL4;DESCRIPCION;NOM_MENU;NUMERO;UBICACION
1;0;0;0;MANTENIMIENTOS;MAN;NULL;NULL
1;1;0;0;TECNICOS;TEC;NULL;NULL
1;2;0;0;PLATAFORMAS;PLA;NULL;NULL
1;3;0;0;APLICACIONES;APL;NULL;NULL
1;4;0;0;MODULOS;MOD;NULL;NULL
1;5;0;0;OBJETOS;OBJ;NULL;NULL
1;6;0;0;VERSIONES;VER;NULL;NULL
1;7;0;0;CAMBIO DE CLAVE;CCL;NULL;NULL
1;8;0;0;PARÁMETROS;PAR;NULL;NULL
2;0;0;0;REGISTRA PASE DE VERSION;RPV;NULL;NULL
3;0;0;0;IMPLEMENTA PASE DE VERSION;IPV;NULL;NULL
4;0;0;0;AUTORIZA DESARROLLO;ADE;NULL;NULL
5;0;0;0;AUTORIZA CENTRO DE CÓMPUTO;ACC;NULL;NULL
6;0;0;0;PERMISOS DEL SISTEMA;PSI;NULL;NULL
7;0;0;0;CONSULTA DE PASES DE VERSION;CON;NULL;NULL
8;0;0;0;SALIR;EXT;NULL;NULL
9;0;0;0;REGISTRO DEL CENTRO DE COMPUTO;CCC;NULL;NULL
